Column1,Column2
played-out,"измотанный, выдохшийся, устаревший, больше ни на что не годный"
player,"игрок, плеер, музыкант, спортсмен, актер, картежник"
playfellow,"друг детства, товарищ детских игр"
playfield,"поле, площадка для игр"
playful,"игривый, шаловливый, веселый, шутливый"
playfully,"игриво, шутливо, шаловливо"
playfulness,шаловливость
playgame,"пустяки, ерунда, детская игра"
playgirl,прожигательница жизни
playgoer,театрал
playgoing,"посещение театра, посещающий театр"
playground,"детская площадка, спортивная площадка, площадка для игр, спортплощадка"
playgroup,"детский сад, детский сад на общественных началах, прогулочная группа"
playhouse,театр
playing,игральный
playing-card,игральная карта
playing-field,"поле, площадка для игр, площадка"
playland,"парк отдыха, детский парк, город, привлекающий отдыхающих"
playlet,небольшая пьеса
playlist,"плей-лист, эфирный лист, список музыкальных произведений"
playmaker,"нападающий, создающий голевые моменты, нападающая, плеймейкер"
playmate,"друг детства, товарищ детских игр, партнер"
playoff,"переигровка, повторная игра после ничьей, плей-офф"
playpen,детский манеж
playpit,"место для игр, песочница"
playroom,"детская, комната для игр"
playschool,детский сад
playscript,"сценарий пьесы, сценарий"
playsuit,"женский или детский костюм пляжного типа, костюм для подвижных игр"
plaything,игрушка
playtime,"время игр и развлечений, время начала спектакля"
playwear,одежда для отдыха
playwright,драматург
playwriting,"написание, создание пьес, творчество драматурга"
plaza,"площадь, рыночная площадь"
plea,"просьба, мольба, призыв, заявление, предлог, довод, оправдание, ссылка, жалоба"
pleach,сплетать
plead,"умолять, просить, ссылаться, ходатайствовать, признавать, отвечать на обвинение"
pleadable,"такой, на который можно ссылаться, юридически обоснованный"
pleader,"адвокат, защитник, проситель, ходатай"
pleading,"мольба, ходатайство, умоляющий, просительный"
pleadingly,"умоляюще, просительно, жалобно"
pleasant,"приятный, милый, славный, отрадный, веселый, шутливый"
pleasantly,"приятно, любезно, весело, славно"
pleasantness,приятность
pleasantry,"шутка, шутливость, шутливое замечание, комическая выходка"
please,"радовать, нравиться, угождать, доставлять удовольствие, соблаговолить, изволить"
pleased,довольный
pleaser,льстец
pleasing,"приятный, привлекательный, нравящийся, угождение"
pleasingly,"приятно, привлекательно, услужливо, угодливо"
pleasingness,"приятность, удовольствие"
pleasurable,"приятный, доставляющий удовольствие"
pleasurableness,"удовольствие, приятность"
pleasure,"удовольствие, наслаждение, доставлять удовольствие, увеселительный"
pleasure-boat,"прогулочный катер, лодка, яхта, прогулочная шлюпка"
pleasure-ground,"парк, сад, площадка для игр, развлечений, площадка для игр и развлечений"
pleasureful,доставляющий удовольствие
pleasureless,"не доставляющий удовольствия, безрадостный"
pleat,"складка, плиссировать, делать складки"
pleated,"заложенный в складку, плиссированный, складчатый, гофрированный"
pleater,"плиссировщик, гофрировочная или плиссировочная машина, гофрировальная машина"
pleb,"плебей, простолюдин"
plebe,курсант первого курса
plebeian,"плебейский, плебей"
plebeianism,вульгарность
plebiscit,"плебисцит, всенародный опрос, референдум, всенародное голосование"
plebiscitary,"плебисцитный, основанный на плебисците"
plebiscite,"плебисцит, референдум"
pleck,"пустошь, бросовая земля"
plectron,"плектр, медиатор"
plectrum,"плектр, медиатор"
pled,"умолять, просить, ссылаться, ходатайствовать, признавать, отвечать на обвинение"
pledge,"залог, обещание, обет, заклад, зарок, закладывать, обещать, отдавать в залог"
pledgee,залогодержатель
pledger,"залогодатель, лицо, поручитель, поручатель"
pledget,"тампон, компресс"
pledgor,"залогодатель, лицо, поручитель, поручатель"
Pleiad,Плеяды
Pleiades,Плеяды
pleiocene,"плиоцен, плиоценовый, плиоценовый"
pleiomery,плейомерия
pleiotropy,плейотропия
pleistocene,относящийся к плейстоцену
plena,"пленум, полнота, заполнение, заполненность, безраздельность"
plenary,"пленарный, полный, безоговорочный, неограниченный"
plench,комбинированные плоскогубцы с гаечным ключом
plenipo,"полномочный, абсолютный, безраздельный, полномочный представитель"
plenipotentiary,"полномочный, неограниченный, абсолютный, уполномоченный"
plenishing,домашняя утварь и мебель
plenitude,"полнота, изобилие"
plenitudinous,"обильный, изобильный, полный, тучный"
plenteous,"обильный, урожайный, плодородный"
plenteously,"обильно, богато, в изобилии, щедро"
plenteousness,"обилие, изобилие"
plentiful,"богатый, изобильный"
plentifully,в изобилии
plentifulness,"обилие, изобилие, богатство"
plenty,"много, достаточно, довольно, множество, обильный, многочисленный"
plenum,"пленум, полнота, заполнение, заполненность, безраздельность"
pleochroism,"плеохроизм, многоцветность, полихроизм"
pleomorphic,плеоморфный
pleomorphism,"полиморфизм, плеоморфизм"
pleomorphy,плеоморфный
pleon,брюшко
pleonasm,плеоназм
pleonaste,"плеонаст, цейлонит"
pleonastic,"излишний, многословный"
pleonexia,"жадность, скупость, патологическая жадность"
pleopod,плеопод
plerome,плерома
plesianthropus,плезиантроп
plesiosaur,плезиозавр
plesiosaurian,относящийся к плезиозавру
plessor,"перкуссионный молоточек, перкуссионный молоток"
plethora,"изобилие, полнокровие, большой избыток"
plethoric,"полнокровный, бьющий через край"
plethorical,"восторженный, напыщенный, полнокровный, обильный, бьющий через край"
plethorically,"обильно, восторженно, напыщенно"
plethory,"полнокровие, изобилие, избыток, плетора, гиперволемия"
plethysmograph,"плетизмограф, прибор для регистрации изменений объема всего тела"
plethysmography,плетизмография
pleura,плевра
pleurae,плевра
pleural,"плевральный, относящийся к плевре"
pleurisy,плеврит
pleuritic,плевритный
pleuritis,плеврит
pleurodynia,"плевралгия, плевродиния"
plexiform,"плексиформный, переплетенный, сложный"
plexiglas,плексиглас
plexiglass,"плексиглас, органическое стекло"
pleximeter,"плессиметр, плексиметр"
plexor,молоточек для выстукивания
plextor,"перкуссионный молото, молоток для выстукивания, молоточек для выстукивания"
plexus,"сплетение, переплетение, запутанность"
pliability,"податливость, гибкость, уступчивость, пластичность, сговорчивость, ковкость"
pliable,"гибкий, уступчивый, сговорчивый, легко поддающийся влиянию"
pliably,"гибко, мягко, податливо, уступчиво"
pliancy,"гибкость, податливость, уступчивость, сговорчивость"
pliant,"гибкий, податливый, уступчивый, мягкий"
pliantly,"гибко, мягко, податливо, уступчиво"
plica,"складка, колтун"
plicae,"складка, колтун"
plicate,складчатый
plicated,складчатый
plication,складка
plie,"плие, приседание"
plier,клещи
pliers,"плоскогубцы, клещи, щипцы, цанги"
plight,"положение, состояние, обязательство, связывать обещанием, помолвить"
plighted,"помолвленный, обрученный"
plighter,"парень, малый, паршивец, негодник, штука, вещь"
plimsoles,"кеды, легкие парусиновые туфли на резиновой подошве"
plimsolls,кеды
plink,"палить, стрелять, звякать, бренчать, бренчание"
plinth,"плинтус, цоколь, постамент"
pliocene,плиоцен
pliofilm,плиофильм
plod,"тащиться, брести, побрести, корпеть, тяжелый путь, тяжелая походка"
plodder,"работяга, труженик, флегматичный"
plodding,"усидчивый, трудолюбивый, медленный и тяжелый"
plonk,"дешевое вино, плохое вино, бросать с шумом, бросать тяжело"
plop,"хлопнуться, хлопнуть, без всплеска, внезапно, падение в воду"
plosion,"взрыв, плозия"
plosive,"взрывной, взрывной звук"
plot,"сюжет, график, заговор, участок земли, план, наносить, вычерчивать, чертить"
plot out,"распределять, делить на участки"
plotful,заговорщический
plotless,"бессюжетный, безопасный, свободный от заговоров, выборочный"
plotline,сюжетная линия
plottage,"площадь участка, общий размер"
plotter,"графопостроитель, заговорщик, интриган, построитель кривых"
plough,"плуг, снегоочиститель, пашня, пахать, бороздить, рассекать"
plough on,"настойчиво продолжать, упорно продвигаться"
plough under,"разрушать, ликвидировать"
plough up,"распахивать, производить подъем или оборот пласта, удалять, выкапывать"
plough-beam,плужный грядиль
plough-boy,"деревенский парень, парень от сохи, идущий за плугом, ведущий лошадь"
plough-land,"пахотная земля, вспаханное поле, земля под паром"
plough-layer,пахотный горизонт
plough-pan,"плужная подошва, подпахотный слой"
plough-point,"предплужник, носок лемеха"
plough-tail,"рукоятка плуга, крестьянский труд"
ploughable,пахотный
ploughback,"капитализация, реинвестиция"
ploughboy,"ведущий лошадь с плугом, крестьянский парень"
plougher,"пахарь, плуг"
ploughing,"вспашка, пахота, провал на экзамене"
ploughland,"зябь, пахотная земля"
ploughman,"пахарь, крестьянин"
ploughshare,"орало, плужный лемех"
ploughtail,рукоятка плуга
plovdiv,"Пловдив, пловдивский"
plover,"ржанка, зуек"
plow,"плуг, снегоочиститель, пашня, пахать, бороздить, рассекать"
plowback,"капитализация, реинвестиция"
plowboy,"деревенский парень, ведущий лошадь при пахоте"
plowing,"вспашка, пахота, провал на экзамене"
plowman,"пахарь, крестьянин"
plowshare,"плужный лемех, орало"
ploy,"уловка, хитрость, затея, занятие, излюбленное развлечение"
pluck,"ливер, смелость, мужество, потроха, отвага, срывать, щипать, собирать, ощипывать"
pluck up,"воспрянуть духом, собраться с силами, искоренять, уничтожать"
pluckily,"отважно, решительно"
pluckiness,"мужество, храбрость, отвага"
plucking,"выщипывание, ощипывание, сбор ягод, провал на экзамене, ледниковое выпахивание"
pluckless,"нерешительный, трусливый"
plucky,"отважный, смелый, решительный"
plug,"штепсель, пробка, штепсельная вилка, вставлять, затыкать, закупоривать"
plug in,"подключать, включать, вставлять штепсель"
plug-chain,цепочка пробки ванны
plug-hat,цилиндр
plug-hole,"штепсельное гнездо, штекерное гнездо"
plug-in,"штепсельное соединение, вставной, штепсельный, блочный, сменный"
plug-switch,штепсельный выключатель
plug-ugly,хулиган
plugboard,"коммутационная панель, штепсельный коммутатор"
pluggable,"съёмный, сменный"
plugged,"закупоренный, фальшивый"
plugger,"штопфер, пломбировочный инструмент зубного врача, наемный убийца"
plugging,"закупорка, закупоривание, трамбование, уплотнение, введение тампона"
plugola,"упоминание товара, торговой марки или сообщение саморекламы в эфире радио"
plum,"слива, лакомый кусочек, доходное место, сливовый, полный, тучный"
plum-cake,кекс с изюмом
plum-duff,пудинг с изюмом
plum-tree,сливовое дерево
plumage,"оперение, перья"
plumb,"отвес, лот, грузило, отвесный, отвесно, проникать"
plumb-line,"ватерпас, мерило, отвес"
plumbaginous,графитовый
plumbago,графит
plumbate,"плумбат, соль свинцовой кислоты, свинцовокислый"
plumbeous,"свинцовый, свинцового цвета"
plumber,"водопроводчик, паяльщик"
plumbery,"водопроводное дело, паяльная мастерская"
plumbic,"свинцовый, содержащий свинец"
plumbiferous,содержащий свинец
plumbing,"водопровод, водопроводная система, уборная, водопроводное дело, прокладка труб"
plumbism,отравление свинцом
plumbite,"плумбит, соль свинцовистой кислоты, плюмбит"
plumbline,"отвес, мерило, критерий, направление отвеса, отвесная"
plumbness,вертикальность
plumbous,"свинцовый, содержащий двухвалентный свинец"
plumbum,свинец
plume,"перо, султан, плюмаж, струйка, завиток, ощипывать, охорашиваться"
plumed,"украшенный перьями, имеющий перья"
plumelet,перышко
plumet,"плюмаж, султан, украшение из перьев"
plumiform,"перообразный, перистый"
plummet,"грузило, груз, лот, гирька, свинцовый отвес, стремительно падать"
plummy,"завидный, сочный, изобилующий сливами, выгодный, хороший"
plumose,"перистый, оперенный"
plumosity,"перистость, оперенность"
plumous,"свинцовый, содержащий двухвалентный свинец"
plump,"пухлый, полный, толстеть, полнеть, прямо, внезапно, тяжелое падение"
plumper,голосующий только за одного
plumpish,"полноватый, округлый"
plumply,"пухло, округло, полностью, решительно, прямо, решительно"
plumpness,"полнота, округлость"
plumule,"перышко, первичная листовая почка"
plumy,"перистый, покрытый перьями, украшенный перьями"
plunder,"грабеж, хищение, разграбление, добыча, грабить, разграбить, разворовывать"
plunderage,"грабеж, хищение товаров на корабле, добыча"
plunderbund,"банда, взяточников, продажные политиканы"
plunderer,грабитель
plundering,"разграбление, грабеж, награбленное, скарб, барыш"
plunge,"погружение, ныряние, погружаться, погружать, вляпаться"
plunge-bath,глубокая ванна
plunger,"плунжер, ныряльщик, скалка, водолаз, азартный игрок, кавалерист"
plunger-pump,плунжерный насос
plunging,"погружение, килевая качка, навесный"
plunk,"шлепнуть, бухнуть, перебор, сильный удар, со звоном, со шлепаньем"
pluperfect,"давнопрошедший, предпрошедший, давнопрошедшее время"
pluperfection,"блеск, великолепие, само совершенство"
plural,"множественный, многочисленный, множественное число"
pluralism,"плюрализм, совместительство"
pluralist,"плюралист, совместитель"
pluralistic,плюралистический
pluralistically,"по совместительству, плюралистически"
plurality,"множество, множественность, большинство голосов, совместительство"
pluralize,"приумножать, образовывать форму множественного числа"
plurally,"во множественном числе, множественно, многочисленно"
pluricellular,многоклеточный
plurilocular,"многокамерный, многогнездный, ячеистый"
pluripotent,плюрипотентный
pluripresence,вездесущность
plus,"плюс, преимущество, плюс, положительный, добавочный"
plus-fours,"гольфы, брюки длиной чуть ниже колена с широкими штанинами, брюки гольф"
plush,"плюшевый, шикарный, роскошный, плисовый, плюш, плис, плисовые штаны"
plushes,плисовые штаны
plushy,"плюшевый, шикарный, роскошный"
plussage,"превышение, добавление, надбавка, доплата, повышение"
Pluto,Плутон
plutocracy,плутократия
plutocrat,"плутократ, богач"
plutocratic,"плутократический, авторитарный"
plutolatry,преклонение перед богатством
pluton,"интрузия изверженных горных пород, плутон"
Plutonian,"плутонов, адский"
Plutonic,"плутонический, глубинный, плутонов, адский"
plutonism,"плутонизм, вулканическая теория земной коры"
Plutonium,плутоний
plutonomy,"политическая экономия, плутономия, экономическая теория, плутономика, экономика"
pluvial,"плювиальный, дождевой, риза, мантия, действие дождевых потоков"
pluviograph,"плювиограф, записывающий дождемер, дождемер, самописец"
pluviometer,дождемер
pluviometric,плювиометрический
pluviometry,"плювиометрия, измерение дождевых осадков, измерение осадков"
pluvious,дождливый
pluvius,"дождливый, с большим количеством осадков"
ply,"слой, сгиб, складка, уклон, склонность, курсировать, заниматься, лавировать"
plymouth,"Плимут, город в Англии, плимутский"
plywood,фанера
plzen,Пльзень
pneudraulic,пневмогидравлический
pneuma,"дыхание, дух, душа, святой дух"
pneumatic,"пневматический, воздушный, пневматическая шина"
pneumatically,"пневматически, с помощью сжатого воздуха"
pneumatics,пневматика
pneumatocyst,"воздушный мешок, плавательный пузырь, воздушная киста"
pneumatograph,"регистрирующий или самопишущий, спирометр, пневмограф"
pneumatology,"пневматология, учение о духах, психология"
pneumatolysis,"пневматолиз, выветривание"
pneumatolytic,сформировавшийся в процессе пневматолиза
pneumatometer,"спирометр, пневматометр"
pneumatophore,пневматофор
pneumatotherapy,баротерапия
pneumectomy,"пневм, эктомия, пульм, эктомия"
pneumococcus,пневмококк
pneumoconiosis,"пневмокониоз, запыление легких"
pneumodynamics,динамика дыхания
pneumogastric,"желудочный, относящийся к блуждающему нерву"
pneumograph,пневмограф
pneumography,"пневмография, пневмо, графия"
pneumohydraulic,пневмогидравлический
pneumokoniosis,"пневмокониоз, запыление легких"
pneumonectomy,"пневм, эктомия, пульм, эктомия"
pneumonia,"пневмония, воспаление легких"
pneumonic,пневмонический
pneumonics,"пневмоника, струйная техника, струйная пневмоавтоматика"
pneumonitis,"пневмонит, пульмонит, пневмония"
pneumostome,"пневмостом, дыхательное отверстие"
pneumothorax,пневмоторакс
pneutronic,"пневматический, электропневматический"
po,"По, полоний, почтовый"
po-faced,"самодовольный, тупой, чванный"
poach,"вмешиваться, незаконно охотиться, браконьерствовать, подстрекать"
poacher,браконьер
poachiness,"влажность, вязкость, топкость"
poachy,"влажный, топкий, сырой"
pochard,нырок красноголовый
pochette,"бумажник, пошет, пошетта, небольшой карман"
pock,"оспина, рябинка, выбоина, оспенная пустула, щербина"
pock-mark,"оспина, рябина, оставлять следы, отметины"
pock-marked,"рябой, испещренный, с оспинами"
pocked,"рябой, щербатый"
pocket,"карманный, карман, кармашек, гнездо, присваивать"
pocket-book,карманное издание
pocket-camera,"карманный, малогабаритный, портативный фотоаппарат"
pocket-handkerchief,"носовой платок, очень маленькая площадь, участок, легкий парус"
pocket-knife,"карманный, нож"
pocket-money,"карманные деньги, деньги на мелкие расходы, мелочь"
pocket-picking,"карманная кража, карманного вора"
pocket-piece,монетка на счастье
pocket-pistol,"карманный пистолет, карманная фляжка"
pocket-size,"карманного размера, небольшого формата, миниатюрный"
pocketbook,"бумажник, записная книжка, книга небольшого формата, плоская дамская сумочка"
pocketful,полный карман
pocketknife,карманный нож
pockety,"душный, затхлый, спертый"
pockhole,"оспина, раковина"
pockmark,"оспина, выбоина, рябинка, оставлять отметины, обезображивать"
pockmarked,"рябой, щербатый"
pockpit,"арена борьбы, авиа кабина, кокпит, кубрик"
pocky,"рябой, оспенный, зараженный сифилисом"
poco,"немного, мало"
pococurante,"равнодушный, безразличный, безразличный человек"
pocosin,"низкая болотистая, часто лесистая местность, заболоченный лес"
pod,"стручок, кокон, подвеска, лузга, кожура, покрываться стручками, лущить"
podagra,подагра
podagric,подагрический
podagrous,подагрический
podal,ножной
podalgia,"подалгия, боль в стопе, пододиния"
podalic,относящийся к стопе
podcast,подкаст
podded,"стручковый, состоятельный, бобовый"
poddy,ягненок
podesta,"подеста, мэр, подеста, главный магистрат, муниципальный судья"
podge,толстяк-коротышка
podgy,"пухлый, короткий и толстый, приземистый и толстый, полный"
podia,"подиум, возвышение"
podiatric,"ортопедический, относящийся к лечению, относящийся к диагностике и лечению"
podiatrist,"ортопед, специализирующийся на лечении заболеваний стоп"
podiatry,лечение заболеваний ног
podium,"подиум, возвышение"
podley,миниатюрный высокочастотный активный щуп со встроенной заказной ИС
podocarpus,ногоплодник
podsol,"подзол, подзолистая почва"
podzol,"подзол, подзольная почва, подзолистый"
poem,"поэма, стихотворение, что-либо прекрасное, что-либо поэтичное"
poenology,"пенология, наука о наказаниях и тюрьмах"
poesy,"поэзия, стихотворение"
poet,"поэт, стихотворец"
poetaster,рифмоплет
poetastery,рифмоплетство
poetess,поэтесса
poetic,"поэтический, поэтичный, стихотворный, возвышенный"
poetical,"поэтический, поэтичный, стихотворный, возвышенный"
poetically,"в стихотворной форме, в стихах, поэтично, поэтически, возвышенно"
poeticize,поэтизировать
poetics,поэтика
poeticule,"поэтишка, рифмач"
poetize,"поэтизировать, воспевать в стихах, баловаться стихами, писать стихи"
poetry,"поэзия, стихи, поэтичность"
pogrom,погром
poi,"пои, гавайское кушанье из корня таро, пои, мячик на веревке"
poignancy,"острота, пикантность, мучительность, проницательность, колкость, едкость, резкость"
poignant,"острый, горький, колкий, мучительный, пикантный, живой, проницательный, резкий, едкий"
poignantly,"остро, мучительно, едко, колко"
poikilitic,пойкилитовый
poikilotherm,пойкилотермное животное
poikilothermy,"холоднокровность, пойкилотермия"
poind,"налагать арест на имущество должника, наложение ареста на имущество должника"
point,"точка, пункт, момент, очко, место, дело, смысл, указывать, острить, целиться, говорить"
point off,отделять точкой
point out,"указывать, показывать, обращать внимание"
point-blank,"прямо, решительно, резко, категорически, резкий, решительный, категорический"
point-device,"правильный, безупречный, точно, тщательно, абсолютно"
point-duty,"регулировать движение, обязанности регулировщика"
point-to-point,"двухточечный, чез, скачки, поточечно, от точки к"
pointe,пуант
pointed,"заостренный, острый, остроконечный, подчеркнутый, критический, наведенный, колкий"
pointedly,"многозначительно, остро, по существу, стараясь подчеркнуть"
pointel,"паркет, пол или тротуар в виде косоугольников, игла, резец"
pointer,"указатель, указка, стрелка, пойнтер, легавая, наводчик, своевременное указание"
pointful,"уместный, подходящий"
pointillism,пуантилизм
pointillist,пуантилист
pointing,"указывающий, указательный, указание, намек, расшивка швов"
pointless,"бессмысленный, бесцельный, тупой, незаостренный, с неоткрытым счетом"
pointlessness,бесцельность
pointlet,точечка
pointsman,"стрелочник, постовой, постовой полицейский, регулировщик"
poise,"равновесие, уравновешенность, балансировать, держать, уравновешивать"
poised,"уравновешенный, ведущий себя с достоинством, колеблющийся, подвешенный"
poiser,"буфер, жужжальце, промежуточный накопитель"
poison,"яд, отрава, отравлять, портить, развращать"
poison-bearing,"ядовитый, ядоносный, ядовитый"
poison-hemlock,болиголов крапчатый
poison-nut,"рвотный корень, рвотный орех"
poison-pen,"злопыхательский, враждебный, автор анонимных писем, злопыхатель"
poisoner,отравитель
poisoning,"отравление, порча, развращение, отравляющий, ядовитый"
poisonous,"ядовитый, отвратительный, противный"
poitou,Пуату
pokal,"большой немецкий кубок, большой кубок"
poke,"мешок, тычок, толчок, лентяй, лодырь, копуша, тыкать, совать, толкать, пихать, протыкать"
poke about,"любопытствовать, допытываться, искать ощупью, идти ощупью"
poke around,"искать ощупью, идти ощупью"
poke into,"исследовать, разузнавать"
poke up,"тыкать, пихать, совать, толкать, запирать"
poker,"покер, кочерга, выжигать по дереву"
poker-faced,"с непроницаемым лицом, с каменным лицом"
poker-work,выжигание
pokerish,"чопорный, жуткий, страшный"
pokerwork,"выжигание по дереву, коже"
pokeweed,"лаконос, лаконосный"
pokey,"тюрьма, тюряга"
poky,"убогий, тесный, мелкий, медлительный, незначительный, вялый, серый, неряшливый"
pol,"политик, политический деятель, "
poland,Польша
polander,"дуршлаг, цедилка, металлическое сито"
polar,"полярный, полюсный, заполярный, диаметрально противоположный"
polarimeter,поляриметр
polarimetry,поляриметрия
polariscope,"полярископ, поляроскоп"
polarise,поляризовать
polarity,"полярность, полная противоположность"
polarizability,поляризуемость
polarizable,"поляризуемый, поляризующийся"
polarization,поляризация
polarize,поляризовать
polarized,поляризовать
polarizer,поляризатор
polarizing,"поляризующий, поляризация"
polarogram,полярограмма
polarograph,полярограф
polarography,"полярография, полярографический анализ"
polaron,полярон
polder,польдер
pole,"полюс, столб, шест, жердь, полюсный, отталкивать шестом"
pole-ax,"убивать бердышом, алебардой, боевой топор, бердыш"
pole-axe,"убивать бердышом, алебардой, боевой топор, бердыш"
pole-changer,"переключатель полюсов, токовращатель"
pole-jump,"прыгать с шестом, прыжок с шестом, столб"
pole-jumping,прыжки с шестом
pole-star,путеводная звезда
pole-vault,прыгать с шестом
pole-vaulting,прыгать с шестом
poleax,"секира, бердыш, боевой топор, алебарда, убивать бердышом, резать скот"
poleaxe,"секира, бердыш, боевой топор, алебарда, убивать бердышом, резать скот"
polecat,"хорек, хорь черный"
polemic,"полемика, спор, дискуссия, полемист, полемический"
polemical,"полемический, полемичный"
polemicist,"полемист, автор полемических произведений"
polemics,полемизирование
polemist,"полемист, спорщик"
polemize,"полемизировать, дискутировать"
polemology,"полемология, направление в политологии, историческая наука"
polenta,полента
polepiece,полюсный наконечник
polestar,путеводная звезда
polianite,"полианит, пиролюзит"
police,"полиция, полицейский, полицейские силы, охранять, контролировать"
police-court,"полицейский суд, суд по делам о расследуемых полицией мелких преступлениях"
police-magistrate,"председатель полицейского суда, судья, председательствующий в городском полицейском суде"
police-office,полицейское управление
police-officer,"полицейский, констебль, офицер полиции, полицейский чиновник"
police-station,полицейский участок
policeman,"полицейский, полисмен"
policewoman,"полицейский, сотрудница полиции"
policing,"охранять, контролировать, поддерживать порядок, чистить"
policlinic,поликлиника
policy,"политика, полис, курс, страховой полис, линия поведения, установка, хитрость"
policy-holder,держатель страхового полиса
policy-making,"разработка, проведение политического курса, политики"
policy-shop,игорный дом
policyholder,держатель страхового полиса
policymaker,"лицо, определяющее политику"
policymaking,"определение политики, выработка политического курса"
polio,"полиомиелит, детский паралич, больной полиомиелитом"
poliomyelitis,"полиомиелит, детский паралич"
poliovirus,"вирус полиомиелита, полиовирус"
polis,"полис, государство, полис"
polish,"полировать, шлифовать, чистить, начистить, полировка, лак, лоск, глянец, политура"
polish off,"покончить, разделываться, быстро справиться"
polished,"полированный, отполированный, блестящий, гладкий, безупречный, лощеный, изысканный"
polisher,"полировщик, шлифовальщик, полировальное приспособление"
polishing,"полирование, шлифование, лощение, полировальный, шлифовальный"
politbureau,политбюро
Politburo,политбюро
polite,"вежливый, учтивый, любезный, обходительный, благовоспитанный, изящный, изысканный"
politely,"вежливо, любезно"
politeness,"вежливость, учтивость"
politesse,"официальная, показная вежливость, учтивость, политес"
politic,"благоразумный, политичный, ловкий, хитрый, обдуманный, проницательный, расчетливый"
political,"политический, государственный, политзаключенный"
politically,"обдуманно, хитро, расчетливо"
politician,"политик, политикан, государственный деятель"
politicization,политизация
politicize,"заниматься политикой, придавать политический характер"
politicized,"заниматься политикой, придавать политический характер"
politick,"заниматься политической деятельностью, принимать участие в политической"
politicly,"обдуманно, проницательно, умно, коварно, расчетливо"
politico,политикан
politics,"политика, политическая жизнь, политическая деятельность"
polity,"государство, государственное устройство, форма правления, образ правления"
polje,"полье, внутренняя долина"
polk,танцевать польку
polka,"полька, танцевать польку"
polka-dot,"узор в горошек, ткань в горошек"
Poll,"голосование, список избирателей, голосовать, проводить голосование"
poll-beast,комолое животное
poll-cow,"комолая корова, безрогая корова"
poll-ox,безрогий вол
poll-parrot,"попугай, говорящий стандартными фразами"
poll-pick,молоток
poll-tax,подушный налог
pollack,сайда
pollakiuria,поллакиурия
pollan,сиг
pollard,"отруби, подстриженное дерево, подстригать"
pollee,"респондент, опрошенный, опрашиваемое лицо"
pollen,"пыльца, цветень, опылять"
pollen-grain,пыльцевое зерно
pollenosis,"поллиноз, пыльцевая аллергия, сенная лихорадка, сенной насморк"
poller,"подрезчик деревьев, голосующий, избиратель, регистратор на избирательном участке"
pollex,большой палец руки
pollicitation,"обещание, обязательство, еще не акцептованная оферта"
pollinate,опылять
pollination,опыление
pollinator,опылитель
polling,голосование
polling-booth,кабина для голосования
polliniferous,пыльценосный
pollinosis,"поллиноз, пыльцевая аллергия, сенная лихорадка, сенной насморк"
polliwog,головастик
pollock,сайда
pollster,"лицо, производящее опрос"
pollutant,поллютант
pollute,"загрязнять, осквернять, загрязненный, загрязнение"
polluted,"загрязненный, развращенный"
polluter,"источник загрязнения, источник загрязнений, загрязнитель"
pollution,"загрязнение, осквернение, поллюция"
pollution-free,"незагрязняющий, свободный от загрязнений, незагрязненный, не загрязняющий"
